"id","deviceid","timestamp","location","speed","direction","make","model","year","fueltype"
fb483553-dc5f-4171-8245-0f188ef849dc,Vehicle-Charmi-123,2024-10-29 19:42:53.067,"[54.15965769927062,-4.90488485885755]",11.13175955424814,North-East,BMW,C500,2024,Hybrid
e3926be5-c555-459f-b1d5-a6fd9c588882,Vehicle-Charmi-123,2024-10-29 19:43:32.067,"[54.169171964981906,-4.922133873722291]",13.867924012849082,North-East,BMW,C500,2024,Hybrid
"969af119-17da-4c3e-bd25-a05ac0ede97f",Vehicle-Charmi-123,2024-10-29 19:44:06.067,"[54.178893630211945,-4.93957309356762]",20.281985177726796,North-East,BMW,C500,2024,Hybrid
b4331c57-70ee-4615-b4df-253bb00c4a34,Vehicle-Charmi-123,2024-10-29 19:44:52.067,"[54.18839282044111,-4.957677180295554]",15.069542256704413,North-East,BMW,C500,2024,Hybrid
"839d435c-923c-4d78-b1ab-4c0b912e268a",Vehicle-Charmi-123,2024-10-29 19:45:22.067,"[54.198342790356946,-4.9751496126771535]",11.447051694188211,North-East,BMW,C500,2024,Hybrid
"5318e73f-49fe-42df-961b-8b8611d76db1",Vehicle-Charmi-123,2024-10-29 19:46:08.067,"[54.20805166181337,-4.993174632829972]",18.099314486115674,North-East,BMW,C500,2024,Hybrid
fc1e1c71-4120-4e8d-8374-a68732acf835,Vehicle-Charmi-123,2024-10-29 19:47:04.067,"[54.21794866362273,-5.010522673913375]",25.69438322777742,North-East,BMW,C500,2024,Hybrid
"4ceb41fc-fb80-4824-913f-ed1385c64b69",Vehicle-Charmi-123,2024-10-29 18:26:01.067,"[53.15625617434183,-3.095255118042607]",24.9183187930295,North-East,BMW,C500,2024,Hybrid
"48fe501a-ea8f-4289-ab58-48984aa32820",Vehicle-Charmi-123,2024-10-29 18:26:48.067,"[53.16628542672054,-3.1133648981416058]",38.042747508890606,North-East,BMW,C500,2024,Hybrid
e1d26da6-e881-4340-af8b-0f5f04ca7334,Vehicle-Charmi-123,2024-10-29 18:27:48.067,"[53.175830753478174,-3.1306693062019133]",31.70673839189733,North-East,BMW,C500,2024,Hybrid
"9311e354-29cc-4c80-8fed-d2d8832b5eb8",Vehicle-Charmi-123,2024-10-29 18:28:20.067,"[53.18564269789358,-3.147956237708318]",38.355643336026944,North-East,BMW,C500,2024,Hybrid
afcab960-5a7e-458d-aa18-95f07be290bc,Vehicle-Charmi-123,2024-10-29 18:29:11.067,"[53.19530389858627,-3.165464402472441]",38.01711163294003,North-East,BMW,C500,2024,Hybrid
"12a32351-7be7-408a-8b92-c351c6e3d889",Vehicle-Charmi-123,2024-10-29 18:30:02.067,"[53.20460904118387,-3.1827772452515273]",22.917196260281138,North-East,BMW,C500,2024,Hybrid
