"id","deviceid","timestamp","location","cameraid","snapshot"
"588d2b84-7a7c-4e40-ae41-56b0a5901180",Vehicle-Charmi-123,2024-10-29 16:20:09.067,"[51.51732742679845,-0.14590098924477735]",Nikon-Cam123,Base64EncodedString
aaa08e32-e026-4b03-b12b-ab84eeebb534,Vehicle-Charmi-123,2024-10-29 16:21:01.067,"[51.52717667186139,-0.16331096963185496]",Nikon-Cam123,Base64EncodedString
"3894660d-3c9a-4a8f-855b-d26aa739beda",Vehicle-Charmi-123,2024-10-29 16:21:42.067,"[51.53656688213791,-0.1810570423312176]",Nikon-Cam123,Base64EncodedString
"84d8dc09-4bfb-4fc2-9ded-750331a214e5",Vehicle-Charmi-123,2024-10-29 16:22:13.067,"[51.54643223428317,-0.1984784704950027]",Nikon-Cam123,Base64EncodedString
"03dd03fe-85cb-4a89-9c65-9ea71eb217cb",Vehicle-Charmi-123,2024-10-29 16:23:05.067,"[51.5560755049834,-0.215934295320625]",Nikon-Cam123,Base64EncodedString
"7c8b03e6-8ba6-4640-bc08-e4484120ce76",Vehicle-Charmi-123,2024-10-29 16:23:59.067,"[51.56604811923439,-0.23321744340043518]",Nikon-Cam123,Base64EncodedString
"014317bc-b98a-4e96-ba75-faf0b57e3b5d",Vehicle-Charmi-123,2024-10-29 16:24:58.067,"[51.575991557899684,-0.2509478114993745]",Nikon-Cam123,Base64EncodedString
"5c702aca-eec0-461f-9d0b-6205ed470051",Vehicle-Charmi-123,2024-10-29 16:25:31.067,"[51.58537046731186,-0.2690266951239498]",Nikon-Cam123,Base64EncodedString
"4698d3c2-f6e3-46d4-8b01-a3ba9eeef776",Vehicle-Charmi-123,2024-10-29 16:26:29.067,"[51.59533875072212,-0.28703814338096606]",Nikon-Cam123,Base64EncodedString
af5bf0ff-a99c-4052-88e3-5460284e3382,Vehicle-Charmi-123,2024-10-29 16:27:19.067,"[51.605134432396724,-0.3050577325581683]",Nikon-Cam123,Base64EncodedString
"5a0e87a9-712f-4ce4-b50a-679b22ddc17d",Vehicle-Charmi-123,2024-10-29 16:28:00.067,"[51.61491103810475,-0.3230718648328474]",Nikon-Cam123,Base64EncodedString
e5171a11-ab78-4a14-a728-ce419ac1a8f5,Vehicle-Charmi-123,2024-10-29 16:28:47.067,"[51.62432742956925,-0.3407225824547486]",Nikon-Cam123,Base64EncodedString
bf311cfc-e14f-452b-8a96-978eaa036a12,Vehicle-Charmi-123,2024-10-29 16:29:20.067,"[51.634053529653166,-0.3583310066137131]",Nikon-Cam123,Base64EncodedString
